"P19113"
"Q9UI32"
"P00488"
"P35228"
"P37059"
"Q13423"
"P11766"
"P48728"
"P50213"
"Q9P0X4"
"P30542"
"P00519"
"P00451"
"P23219"
"P21728"
"P35916"
"P51168"
"P02452"
"Q9H4B7"
"P56181"
"O95363"
"P17948"
"Q9UBM7"
"Q9BTZ2"
"P06213"
"O60931"
"P04049"
"O00217"
"Q9Y285"
"P29401"
"Q9Y234"
"P12259"
"O00764"
"P24530"
"Q15738"
"P20309"
"P30613"
"Q9H2X9"
"P00734"
"P30273"
"P13716"
"P14060"
"P48167"
"P14780"
"P26439"
"P13674"
"P21554"
"P30556"
"P34995"
"P10515"
"P29475"
"P07195"
"P24752"
"O15496"
"Q07869"
"Q9HCC0"
"Q9UDR5"
"P10912"
"P00492"
"P28702"
"Q9Y600"
"Q8IWU9"
"O95299"
"P12277"
"Q13639"
"P02792"
"Q02809"
"P14618"
"O43920"
"P11229"
"O75380"
"Q15800"
"P11177"
"Q9NS75"
"Q9BYZ2"
"P17707"
"Q9BYV1"
"P51606"
"P25021"
"P06746"
"P07741"
"Q16647"
"Q05940"
"O95477"
"P17752"
"P03372"
"P08700"
"Q04828"
"P31937"
"P24046"
"P10275"
"P05091"
"P22888"
"P49419"
"P19404"
"P09172"
"P35498"
"P07437"
"P21918"
"Q9H3N8"
"P36888"
"P23368"
"P51649"
"Q9NYK1"
"Q9H3S4"
"P50747"
"P00387"
"O43175"
"Q02218"
"P15692"
"P20132"
"P37288"
"P48506"
"O00483"
"P12532"
"P08588"
"O95298"
"Q02338"
"P31040"
"P36021"
"P23786"
"P00367"
"Q9NVS9"
"O76074"
"P20273"
"P56937"
"P48637"
"P45381"
"P07814"
"P37088"
"O75489"
"P14061"
"P03897"
"Q14524"
"Q15046"
"P30968"
"P09619"
"P10826"
"Q09428"
"P21695"
"O95069"
"P00747"
"P30825"
"P56556"
"P37231"
"P00742"
"Q9UBS5"
"P08243"
"P12821"
"P26640"
"O15239"
"P32322"
"P07327"
"P23381"
"P54710"
"P54577"
"Q02252"
"P55157"
"P26639"
"Q15758"
"P06858"
"P05121"
"O43674"
"P30038"
"O96000"
"P10415"
"P08912"
"P09917"
"P30531"
"P00491"
"P14679"
"P80404"
"Q9Y478"
"P15291"
"P40939"
"P35354"
"P29474"
"Q04771"
"P08473"
"P13995"
"Q08828"
"P14207"
"P03901"
"Q16773"
"P07766"
"Q96GD0"
"P01008"
"P55011"
"O43676"
"P05089"
"P49189"
"P08913"
"P08908"
"P34897"
"P30518"
"O95168"
"Q13258"
"Q00796"
"Q02641"
"P31153"
"Q16795"
